Time_s,LapID,Speed,Distance,Throttle,Brake
0.0,1,315.2124992,0.0068264549751961,100.0,0.0
0.01,1,315.40187347363513,0.8861436242083113,100.0,-1.563008593997638e-39
0.02,1,315.5794380261513,1.765674069281778,100.0,-2.773934645741386e-39
0.03,1,315.74571222038554,2.6454179067615504,100.0,-3.6613253883869666e-39
0.04,1,315.9012154191748,3.5253752532135856,100.0,-4.253728055090098e-39
0.05,1,316.04646698535595,4.405546225203836,100.0,-4.579689879006503e-39
0.06,1,316.181986281766,5.285930939298259,100.0,-4.667758093291903e-39
0.07,1,316.308292671242,6.166529512062809,100.0,-4.5464799311020166e-39
0.08,1,316.42590551662084,7.047342060063439,100.0,-4.244402625592562e-39
0.09,1,316.5353441807395,7.928368699866106,100.0,-3.790073409919268e-39
0.1,1,316.63712802643494,8.809609548036764,100.0,-3.212039517237848e-39
0.11,1,316.73177641654416,9.691064721141371,100.0,-2.5388481807040284e-39
0.12,1,316.8198087139041,10.572734335745878,100.0,-1.7990466334735275e-39
0.13,1,316.9017442813517,11.454618508416242,100.0,-1.0211821087020598e-39
0.14,1,316.9781024817239,12.336717355718422,100.0,-2.3380183954535593e-40
0.15,1,317.04940267785776,13.219030994218363,100.0,5.345469408408719e-40
0.16,1,317.1161642325901,14.10155954048203,100.0,1.2553169993008955e-39
0.17,1,317.17890650875813,14.984303111075372,100.0,1.8999611026789973e-39
0.18,1,317.2381488691986,15.867261822564345,100.0,2.4399320178194545e-39
0.19,1,317.2944106767485,16.75043579151491,100.0,2.846682511566549e-39
0.2,1,317.3482112942448,17.633825134493012,100.0,3.09166535076456e-39
0.21,1,317.4000700845246,18.51742996806461,100.0,3.146333302257765e-39
0.22,1,317.4505064104247,19.40125040879566,100.0,2.9821391328904435e-39
0.23,1,317.5000396347821,20.285286573252122,100.0,2.5705356095068772e-39
0.24,1,317.5491891204339,21.169538577999944,100.0,1.8829754989513434e-39
0.25,1,317.5984742302168,22.054006539605084,100.0,8.909115680681202e-40
0.26,1,317.64841166850334,22.938690571066424,100.0,-4.33780556868481e-40
0.27,1,317.6993124532669,23.823590509397484,100.0,-2.0865084588679436e-39
0.28,1,317.7511389497582,24.708705723797408,100.0,-4.0072224897640327e-39
0.29,1,317.80381975088,25.594035538150372,100.0,-6.130501120483053e-39
0.3,1,317.85728344953515,26.47957927634056,100.0,-8.390922821951346e-39
0.31,1,317.9114586386266,27.36533626225213,100.0,-1.072306606509522e-38
0.32,1,317.966273911057,28.251305819769264,100.0,-1.3061509320840986e-38
0.33,1,318.0216578597292,29.137487272776145,100.0,-1.5340831060114966e-38
0.34,1,318.0775390775461,30.023879945156935,100.0,-1.7495609753843477e-38
0.35000000000000003,1,318.1338461574103,30.91048316079581,100.0,-1.9460423872952839e-38
0.36,1,318.19050769222474,31.797296243576945,100.0,-2.1169851888369354e-38
0.37,1,318.2474522748923,32.684318517384504,100.0,-2.2558472271019359e-38
0.38,1,318.30460849831564,33.57154930610269,100.0,-2.3560863491829166e-38
0.39,1,318.36190495539773,34.45898793361565,100.0,-2.4111604021725097e-38
0.4,1,318.4192702390413,35.346633723807585,100.0,-2.4145272331633454e-38
0.41000000000000003,1,318.47663294214914,36.23448600056264,100.0,-2.3596446892480564e-38
0.42,1,318.5339216576241,37.122544087765,100.0,-2.2399706175192742e-38
0.43,1,318.59106497836893,38.01080730929885,100.0,-2.0489628650696316e-38
0.44,1,318.6479914972865,38.89927498904834,100.0,-1.7800792789917588e-38
0.45,1,318.70462980727973,39.78794645089767,100.0,-1.4267777063782893e-38
0.46,1,318.76090850125115,40.67682101873101,100.0,-9.825159943218518e-39
0.47000000000000003,1,318.81675617210385,41.56589801643252,100.0,-4.407519899150799e-39
0.48,1,318.8721058671804,42.455176935353514,100.0,2.017984393624583e-39
0.49,1,318.9272352754851,43.34467022383934,100.0,6.963451820201474e-39
0.5,1,318.9830062775616,44.23441229323955,100.0,3.668147861924552e-39
0.51,1,319.04028328119193,45.12443651352735,100.0,-1.4441337757547598e-38
0.52,1,319.09937259285937,46.0147435409025,100.0,-4.773171852295479e-38
0.53,1,319.1602512692276,46.905314732193816,100.0,-9.290808984570851e-38
0.54,1,319.2228921114573,47.7961311947887,100.0,-1.466282212932854e-37
0.55,1,319.2872679207093,48.687174036074595,100.0,-2.0554988243316216e-37
0.56,1,319.35335149814443,49.578424363438934,100.0,-2.663308428328153e-37
0.5700000000000001,1,319.42111564492336,50.46986328426914,100.0,-3.2562887205972165e-37
