u,s,X,Y,dx,dy,ddx,ddy,Curvature,ICC,Radius_m
0.0,0.0,-1371.3267674889448,-651.9209646451632,4883.904600456805,57400.32733396684,53619.38632356132,-4593.415878565434,1.6216162675008475e-05,1.6216162675008475e-05,61666.870272653905
0.00066711140760507,38.43076632111069,-1368.057079783195,-613.6295433822395,4918.0913597024355,57397.39891150162,48872.517894834324,-4185.994672149618,1.4780550116908751e-05,1.4780550116908751e-05,67656.48044831656
0.00133422281521014,76.86153317000208,-1364.765641967901,-575.3399850444641,4949.111428868859,57394.74228437091,44125.64946610732,-3778.5734657338016,1.3344922751009022e-05,1.3344922751009022e-05,74934.8661403371
0.00200133422281521,115.29231152223659,-1361.4545665781395,-537.0521083140695,4976.964807956081,57392.3574525747,39378.78103738032,-3371.1522593179857,1.1909288054279648e-05,1.1909288054279648e-05,83968.07562653975
0.00266844563042028,153.7231090911428,-1358.1259661489867,-498.7657318732872,5001.651496964097,57390.24441611298,34631.91260865332,-2963.7310529021693,1.0473651675738198e-05,1.0473651675738198e-05,95477.68352049177
0.00333555703802535,192.1539306787575,-1354.7819532155193,-460.4806744043494,5023.17149589291,57388.403174985775,29885.044179926328,-2556.309846486354,9.038017633067409e-06,9.038017633067409e-06,110643.73191099986
0.00400266844563042,230.5847785267752,-1351.4246403128118,-422.1967545894871,5041.5248047425175,57386.83372919305,25138.175751199324,-2148.8886400705373,7.602388509261507e-06,7.602388509261507e-06,131537.60805328004
0.00466977985323549,269.0156526674944,-1348.0561399759424,-383.91379111093295,5056.711423512922,57385.53607873484,20391.307322472327,-1741.4674336547214,6.166765649286392e-06,6.166765649286392e-06,162159.55930086598
0.00533689126084056,307.4465512747689,-1344.678564739986,-345.6316026509184,5068.731352204121,57384.51022361112,15644.438893745328,-1334.0462272389054,4.7311493567438485e-06,4.7311493567438485e-06,211365.13024569507
0.00600400266844563,345.87747101495324,-1341.2940271400194,-307.35000789167543,5077.584590816118,57383.75616382192,10897.570465018323,-926.6250208230892,3.295539090533124e-06,3.295539090533124e-06,303440.4910785715
0.0066711140760507,384.3084073978482,-1337.9046397111185,-269.06882551543566,5083.27113934891,57383.27389936721,6150.702036291326,-519.2038144072733,1.8599336615065257e-06,1.8599336615065257e-06,537653.5844778523
0.00733822548365577,422.7393551276435,-1334.5125149883597,-230.7878742044311,5085.790997802498,57383.06343024699,1403.8336075643274,-111.7826079914571,4.2433142911781e-07,4.2433142911781e-07,2356648.438884227
0.00800533689126084,461.170308453859,-1331.1197655068188,-192.50697264089348,5085.14416617688,57383.12475646127,-3343.034821162668,295.63859842435863,1.0112695019357177e-06,1.0112695019357177e-06,988856.084442232
0.00867244829886591,499.60126152228463,-1327.7285038015727,-154.22593950705465,5081.330644472061,57383.45787801007,-8089.903249889672,703.059804840175,2.446871085075371e-06,2.446871085075371e-06,408685.2004993132
0.00933955970647098,538.0322087259203,-1324.3408424076965,-115.94459348514636,5074.350432688036,57384.062794893354,-12836.771678616664,1110.4810112559906,3.882475135204664e-06,3.882475135204664e-06,257567.65083500918
0.01000667111407605,576.4631450559152,-1320.9588938602672,-77.66275325740044,5064.203530824806,57384.939507111136,-17583.640107343672,1517.9022176718074,5.318083132071359e-06,5.318083132071359e-06,188037.6773295205
0.01067378252168112,614.8940664687867,-1317.584763641923,-39.38023811129278,5051.016517123034,57386.07715165223,-20815.94471642628,1795.3427602309241,6.295643350684547e-06,6.295643350684547e-06,158840.00161655704
0.011340893929286189,653.3249719631062,-1314.2197085686848,-1.0969401673147028,5037.562907196725,57387.23770394737,-19517.97784264547,1683.993020626877,5.903104462582637e-06,5.903104462582637e-06,169402.3892578203
0.01200800533689126,691.7558644312729,-1310.863339730051,37.18710721692663,5024.97518577861,57388.323973561004,-18220.01096886465,1572.6432810228293,5.510563288845629e-06,5.510563288845629e-06,181469.65157340266
0.01267511674449633,730.1867468072019,-1307.5150794819203,75.4718544866067,5013.253352868688,57389.3359604931,-16922.044095083835,1461.2935414187823,5.118020269382502e-06,5.118020269382502e-06,195388.04994233674
0.0133422281521014,768.6176216564697,-1304.1743501801914,113.75725208690153,5002.397408466957,57390.27366474368,-15624.07722130302,1349.9438018147348,4.7254757876702515e-06,4.7254757876702515e-06,211618.90250484573
0.01400933955970647,807.0484912025516,-1300.8405741807615,152.04325046298666,4992.40735257342,57391.13708631272,-14326.110347522206,1238.5940622106878,4.332930174772874e-06,4.332930174772874e-06,230790.70274942025
0.01467645096731154,845.4793573530601,-1297.5131738395307,190.329800060038,4983.283185188074,57391.92622520026,-13028.14347374139,1127.24432260664,3.940383713360679e-06,3.940383713360679e-06,253782.3909405815
0.01534356237491661,883.9102217259832,-1294.191571512397,228.6168513232313,4975.024906310922,57392.64108140627,-11730.176599960574,1015.8945830025929,3.5478366417298696e-06,3.5478366417298696e-06,281861.90655960294
0.01601067378252168,922.3410856759235,-1290.8751895552584,266.9043546977422,4967.632515941963,57393.28165493075,-10432.20972617976,904.5448433985456,3.155289157822334e-06,3.155289157822334e-06,316928.1641021337
0.016677785190126748,960.7719503203368,-1287.5634503240135,305.1922606287466,4961.106014081196,57393.847945773705,-9134.242852398947,793.1951037944983,2.762741423245563e-06,2.762741423245563e-06,361959.31750472623
0.01734489659773182,999.2028165657708,-1284.2557761745609,343.48051956142046,4955.445400728622,57394.33995393514,-7836.275978618128,681.8453641904507,2.37019356729271e-06,2.37019356729271e-06,421906.4694965919
0.01801200800533689,1037.6336851341036,-1280.9515894627993,381.7690819409391,4950.650675884241,57394.75767941505,-6538.309104837312,570.4956245864034,1.9776456909627197e-06,1.9776456909627197e-06,505651.7477168517
0.01867911941294196,1076.064556588784,-1277.650312544627,420.0578982124786,4946.721839548052,57395.10112221345,-5240.342231056498,459.1458849823563,1.585097870980497e-06,1.585097870980497e-06,630875.8710157298
0.01934623082054703,1114.4954313610688,-1274.3513677759422,458.3469188212147,4943.658891720057,57395.370282330325,-3942.375357275685,347.796145378309,1.1925501638171227e-06,1.1925501638171227e-06,838539.1494133825
0.0200133422281521,1152.9263097762632,-1271.0541775126437,496.6360942123232,4941.461832400253,57395.56515976566,-2644.4084834948644,236.44640577426125,8.000026097100758e-07,8.000026097100758e-07,1249995.9223413086
0.02068045363575717,1191.3571920799584,-1267.7581641106299,534.9253748309795,4940.130661588642,57395.68575451947,-1346.4416097140506,125.09666617021401,4.0745523668347237e-07,4.0745523668347237e-07,2454257.3268651846
0.02134756504336224,1229.7880784642716,-1264.4627499257992,573.2147111223597,4939.665379285225,57395.732066591765,-48.47473593323684,13.74692656616682,1.4908064568285433e-08,1.4908064568285433e-08,67077788.36210188
0.02201467645096731,1268.2189690940847,-1261.1673573140502,611.5040535316398,4940.06598549,57395.70409598254,1249.492137847577,-97.6028130378804,3.7763889097742677e-07,3.7763889097742677e-07,2648032.3501950298
0.022681787858572378,1306.6498641332828,-1257.8714086312812,649.793352503995,4941.3324802029665,57395.60184269178,2547.4590116283907,-208.95255264192755,7.701856144483089e-07,7.701856144483089e-07,1298388.3121685016
0.02334889926617745,1345.0807637642747,-1254.574335914834,688.0825593115255,4943.3672445194825,57395.43364467177,3189.2254941472593,-264.2540548393703,9.642824220932744e-07,9.642824220932744e-07,1037040.5776237106
0.02401601067378252,1383.511668005785,-1251.2758624295352,726.3716501010299,4945.436989995793,57395.26213450447,3015.8714438285156,-249.93342674271014,9.118685289135947e-07,9.118685289135947e-07,1096649.3176285024
0.02468312208138759,1421.942576648769,-1247.9760467679562,764.6606296607542,4947.39108900758,57395.10017779154,2842.5173935097714,-235.61279864605004,8.594546883156395e-07,8.594546883156395e-07,1163528.4717101275
0.02535023348899266,1460.3734894631737,-1244.6749660791727,802.9495043639171,4949.229541554845,57394.94777453297,2669.1633431910277,-221.2921705493899,8.070408980226908e-07,8.070408980226908e-07,1239094.5768053057
