Time,Distance,X,Y,Speed,Throttle,Brake,RPM,nGear,DRS,LapID,PointIndex,Year,GrandPrix,Session,Driver,LapNumber,LapTime_s,Time_s
0 days 00:00:04.556000,418.22047907789187,-1018.0,3429.0,340.1083328,100.0,False,12528.2124768,8,12,1,31,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.556
0 days 00:00:04.663000,428.3680555555555,-1009.541377820819,3530.832609117573,341.0,100.0,False,12567.0,8,12,1,32,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.663
0 days 00:00:04.736000,435.29874457844556,-1004.0,3598.0,341.36499968,100.0,False,12567.36499968,8,12,1,33,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.736
0 days 00:00:04.863000,447.3680555555555,-994.8089182474218,3705.6501883151263,342.0,100.0,False,12568.0,8,12,1,34,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.863
0 days 00:00:05.016000,461.9209247551669,-981.0,3864.0,342.47663540967187,100.0,False,12587.065416386875,8,12,1,35,2023,Italian Grand Prix,R,HAM,29.0,85.582,5.016
0 days 00:00:05.184000,477.95222222222213,-959.3403536951038,4114.510857864696,343.0,100.0,False,12608.0,8,12,1,36,2023,Italian Grand Prix,R,HAM,29.0,85.582,5.184
0 days 00:00:05.196000,479.1009561130222,-958.0,4130.0,343.10027853365506,100.0,False,12611.910862812549,8,12,1,37,2023,Italian Grand Prix,R,HAM,29.0,85.582,5.196
0 days 00:00:05.543000,512.456111111111,-936.6582418919005,4374.252278049279,346.0,100.0,False,12725.0,8,12,1,38,2023,Italian Grand Prix,R,HAM,29.0,85.582,5.543
0 days 00:00:05.597000,517.6443502148347,-933.0,4416.0,346.0,100.0,False,12735.7999744,8,12,1,39,2023,Italian Grand Prix,R,HAM,29.0,85.582,5.597
0 days 00:00:05.703000,527.8338888888887,-924.1845087076607,4516.870278118153,346.0,100.0,False,12757.0,8,12,1,40,2023,Italian Grand Prix,R,HAM,29.0,85.582,5.703
0 days 00:00:05.776000,534.8729631390613,-918.0,4589.0,346.4055552,100.0,False,12765.111104,8,12,1,41,2023,Italian Grand Prix,R,HAM,29.0,85.582,5.776
