Orden,MAE,MSE,RMSE,R2
"(5, 1, 1)",1.6240072168596364,8.16616526202665,2.857650304363123,0.9985228362911308
"(5, 0, 0)",1.6258534425622682,8.173529575382783,2.8589385399799667,0.9985215041730459
"(5, 1, 0)",1.61010919244936,8.405854075715855,2.8992850973500097,0.9984794793903528
"(8, 1, 0)",1.6094548756844842,8.407175092398454,2.8995129060582667,0.9984792404338977
"(3, 1, 0)",1.6268958905396924,8.606033313256999,2.9336041507430752,0.9984432693094302
"(2, 1, 0)",1.6270376577407202,8.606840872158138,2.9337417868923192,0.9984431232314777
