Experimento,Mejor_orden,MAE,MSE,RMSE,R2,N_train,N_test
1. Trozo del circuito,"(5, 0, 0)",1.4517188341665286,6.644180345506641,2.5776307620577934,0.9973011872075515,17105,3758
2. Vueltas distintas,"(5, 1, 1)",1.6228232054481824,9.441259379854783,3.0726632389272313,0.9982995169959908,16544,4319
