Orden,MAE,MSE,RMSE,R2
"(5, 0, 0)",1.6340920796888898,7.090716171193094,2.6628398696115947,0.9988532079043085
"(5, 1, 1)",1.6395121277225757,7.108685701864124,2.6662118636492718,0.998850301665328
"(8, 1, 0)",1.6095028811419525,7.315631187041855,2.7047423513232927,0.9988168320635401
"(5, 1, 0)",1.606209833181157,7.331935856670641,2.707754763022427,0.9988141950850175
"(2, 1, 0)",1.620307496420385,7.446864720922198,2.728894413663196,0.9987956074684907
"(3, 1, 0)",1.6213051799347915,7.463899082466649,2.7320137412660737,0.998792852475807
