u,s,X,Y,dx,dy,ddx,ddy,Curvature,ICC,Radius_m
0.0,0.0,-41.935341684376795,128.25604379325247,-3845.8872417933494,5770.741335418141,2345.5666884636926,3855.387174032978,8.504317082847827e-05,8.504317082847827e-05,11758.733714396401
0.00066711140760507,4.626745713087366,-44.50046308788721,132.10661882548143,-3844.3588451472115,5773.267262715101,2236.566456659117,3717.3428622498805,8.152094870905602e-05,8.152094870905602e-05,12266.785603402966
0.00133422281521014,9.254316745181942,-47.064589135162066,135.95884821516833,-3842.903163799142,5775.701099076915,2127.5662248545427,3579.298550466784,7.800353187426852e-05,7.800353187426852e-05,12819.932328344683
0.00200133422281521,13.882689464271959,-49.627768335406216,139.81267052739972,-3841.5201977491406,5778.042844503583,2018.5659930499678,3441.254238683687,7.449075870765836e-05,7.449075870765836e-05,13424.48402122652
0.00266844563042028,18.51184015743688,-52.19004919782449,143.66802432726223,-3840.2099469972068,5780.292498995104,1909.5657612453927,3303.2099269005903,7.098246717446232e-05,7.098246717446232e-05,14087.985946475732
0.00333555703802535,23.141745034508585,-54.75148023162176,147.52484817984256,-3838.972411543343,5782.450062551482,1800.565529440818,3165.1656151174934,6.747849484935527e-05,6.747849484935527e-05,14819.536242361142
0.00400266844563042,27.772380231725275,-57.312109946002856,151.38308065022724,-3837.807591387547,5784.5155351727135,1691.5652976362426,3027.121303334396,6.397867894374044e-05,6.397867894374044e-05,15630.207070692231
0.00466977985323549,32.40372181537924,-59.87198685017265,155.24266030350304,-3836.715486529819,5786.4889168588,1582.5650658316679,2889.0769915512997,6.048285633260584e-05,6.048285633260584e-05,16533.610689627894
0.00533689126084056,37.035745785457244,-62.43115945333596,159.10352570475644,-3835.6960969701595,5788.37020760974,1473.5648340270925,2751.0326797682023,5.69908635809674e-05,5.69908635809674e-05,17546.672171045306
0.00600400266844563,41.66842807927571,-64.98967626469766,162.96561541907414,-3834.7494227085685,5790.1594074255345,1364.5646022225178,2612.9883679851055,5.350253696991898e-05,5.350253696991898e-05,18690.702471963814
0.0066711140760507,46.3017445751091,-67.5475857934626,166.82886801154274,-3833.875463745046,5791.856516306185,1255.5643704179429,2474.9440562020086,5.0017712522309206e-05,5.0017712522309206e-05,19992.917500055082
0.00733822548365577,50.93567109581329,-70.10493654883562,170.69322204724892,-3833.0742200795917,5793.461534251688,1146.5641386133675,2336.8997444189113,4.6536226028065333e-05,4.6536226028065333e-05,21488.635528736566
0.00800533689126084,55.57018341244303,-72.66177704002155,174.55861609127922,-3832.345691712206,5794.974461262046,1037.5639068087928,2198.8554326358153,4.3057913069183986e-05,4.3057913069183986e-05,23224.534788605153
0.00867244829886591,60.20525724786503,-75.21815577622527,178.4249887087204,-3831.689878642889,5796.395297337261,928.5636750042177,2060.811120852718,3.9582609044408515e-05,3.9582609044408515e-05,25263.62016404932
0.00933955970647098,64.8408682803652,-77.77412126665162,182.29227846465892,-3831.10678087164,5797.724042477326,819.5634431996428,1922.7668090696209,3.611014919361342e-05,3.611014919361342e-05,27693.045371766668
0.01000667111407605,69.4769921472527,-80.32972202050544,186.16042392418157,-3830.59639839846,5798.96069668225,710.5632113950678,1784.7224972865242,3.264036862191441e-05,3.264036862191441e-05,30636.908902082992
0.01067378252168112,74.11360444845833,-82.88500654699159,190.0293636523748,-3830.1587312233473,5800.105259952025,601.5629795904927,1646.678185503427,2.917310232352519e-05,2.917310232352519e-05,34278.15077430418
0.011340893929286189,78.7506807501303,-85.44002335531489,193.89903621432538,-3829.7937793463047,5801.157732286658,492.5627477859182,1508.633873720331,2.5708185205379253e-05,2.5708185205379253e-05,38898.11715650614
0.01200800533689126,83.38819658822523,-87.99482095468024,197.76938017511986,-3829.501542767329,5802.118113686141,383.5625159813426,1370.5895619372332,2.2245452110537194e-05,2.2245452110537194e-05,44953.008598387685
0.01267511674449633,88.02612747209645,-90.54944785429241,201.64033409984492,-3829.282021486422,5802.986404150481,274.5622841767679,1232.5452501541365,1.878473784139852e-05,1.878473784139852e-05,53234.70619835652
0.0133422281521014,92.6644488880791,-93.10395256335639,205.5118365535873,-3829.1352155035847,5803.762603679677,165.56205237219297,1094.5009383710392,1.532587718273731e-05,1.532587718273731e-05,65249.120039039284
0.01400933955970647,97.30313630307164,-95.65838359107687,209.38382610143336,-3829.0611248188143,5804.446712273725,56.561820567617815,956.4566265879425,1.1868704924581563e-05,1.1868704924581563e-05,84255.19097107855
0.01467645096731154,101.9421651681165,-98.21278944665882,213.25624130846992,-3829.0597494321137,5805.03872993263,-52.438411236957336,818.4123148048454,8.413055884954783e-06,8.413055884954783e-06,118862.87380882823
0.01534356237491661,106.58151092197649,-100.76721863930698,217.1290207397835,-3829.13108934348,5805.538656656387,-161.43864304153203,680.3680030217488,4.958764932499796e-06,4.958764932499796e-06,201663.11846040326
0.01601067378252168,111.22114899471083,-103.32171967822624,221.00210296046077,-3829.275144552915,5805.946492444999,-270.4388748461072,542.3236912386517,1.505667009003273e-06,1.505667009003273e-06,664157.4757369384
0.016677785190126748,115.86105481124869,-105.87634107262151,224.87542653558845,-3829.49191506042,5806.262237298467,-379.4391066506819,404.2793794555553,1.9464028481592933e-06,1.9464028481592933e-06,513768.25765832426
0.01734489659773182,120.5012037949613,-108.43113133169761,228.74893003025306,-3829.781400865992,5806.485891216787,-488.4393384552575,266.2350676724575,5.397609483639718e-06,5.397609483639718e-06,185267.20079157702
0.01801200800533689,125.14157137123338,-110.98613896465933,232.62255200954127,-3830.143601969633,5806.617454199964,-597.4395702598322,128.19075588936084,8.848117601774667e-06,8.848117601774667e-06,113018.38933508638
0.01867911941294196,129.7821329710335,-113.54141248071157,236.49623103853958,-3830.578518371342,5806.656926247994,-706.439802064407,-9.853555893735802,1.2298091744266404e-05,1.2298091744266404e-05,81313.42819638814
0.01934623082054703,134.42286403448406,-116.09700038905918,240.36990568233486,-3831.08615007112,5806.60430736088,-815.4400338689818,-147.89786767683267,1.5747696267867093e-05,1.5747696267867093e-05,63501.35175266766
0.0200133422281521,139.06374001443035,-118.65295119890698,244.24351450601347,-3831.6664970689662,5806.45959753862,-924.4402656735572,-285.94217945993,1.919709532204827e-05,1.919709532204827e-05,52091.21396878615
0.02068045363575717,143.70473638001093,-121.20931341945987,248.11699607466227,-3832.3195593648807,5806.222796781214,-1033.4404974781323,-423.9864912430269,2.264645282663643e-05,2.264645282663643e-05,44157.025722978324
0.02134756504336224,148.3458286202268,-123.76613555992266,251.99028895336784,-3833.0453369588636,5805.893905088662,-1142.4407292827068,-562.0308030261235,2.6095932449395966e-05,2.6095932449395966e-05,38320.14824299358
0.02201467645096731,152.98699224751206,-126.32346612950015,255.8633317072166,-3833.8438298509145,5805.4729224609655,-1251.4409610872822,-700.0751148092206,2.9545697583540766e-05,2.9545697583540766e-05,33845.87543321628
0.022681787858572378,157.62820280130595,-128.8813536373973,259.73606290129544,-3834.715038041035,5804.959848898123,-1360.4411928918566,-838.119426592317,3.299591132515555e-05,3.299591132515555e-05,30306.78529062527
0.02334889926617745,162.2694358516242,-131.4398465928189,263.6084211006908,-3835.6589615292223,5804.354684400134,-1469.4414246964325,-976.1637383754148,3.644673645050864e-05,3.644673645050864e-05,27437.29884726193
0.02401601067378252,166.91066700263394,-133.99899350496975,267.4803448704895,-3836.6756003154787,5803.657428967002,-1578.4416565010072,-1114.2080501585115,3.989833539323669e-05,3.989833539323669e-05,25063.702285923275
0.02468312208138759,171.55187189622887,-136.55884288305484,271.35177277577804,-3837.764954399805,5802.868082598723,-1687.4418883055823,-1252.2523619416083,4.3350870221384105e-05,4.3350870221384105e-05,23067.587683781265
0.02535023348899266,176.19302621560672,-139.11944323627884,275.2226433816429,-3838.9270237821975,5801.986645295298,-1796.4421201101568,-1390.2966737247048,4.680450261427693e-05,4.680450261427693e-05,21365.46580232148
0.02601734489659773,180.83410568885003,-141.68084307384677,279.0928952531711,-3840.16180846266,5801.013117056729,-1905.4423519147322,-1528.3409855078025,5.025939383921382e-05,5.025939383921382e-05,19896.7779675005
0.0266844563042028,185.4750860925073,-144.2430909049633,282.9624669554489,-3841.46930844119,5799.947497883013,-2014.4425837193069,-1666.3852972908992,5.371570472795511e-05,5.371570472795511e-05,18616.529468700664
0.02735156771180787,190.11594325517933,-146.80623523883344,286.83129705356305,-3842.8495237177895,5798.7897877741525,-2123.442815523882,-1804.4296090739963,5.717359565299129e-05,5.717359565299129e-05,17490.591392386577
0.02801867911941294,194.75665306110724,-149.37032458466194,290.69932411260027,-3844.302454292457,5797.539986730146,-2232.4430473284565,-1942.4739208570927,6.063322650357275e-05,6.063322650357275e-05,16492.607398042328
0.02868579052701801,199.3971914537639,-151.9354074516537,294.56648669764706,-3845.8281001651926,5796.198094750995,-2341.443279133032,-2080.5182326401896,6.40947566614819e-05,6.40947566614819e-05,15601.900250304805
0.02935290193462308,204.0375344394498,-154.5015323490136,298.43272337379017,-3847.426461335996,5794.764111836697,-2450.4435109376072,-2218.5625444232865,6.755834497652955e-05,6.755834497652955e-05,14802.020392113069
0.03002001334222815,208.6776580908918,-157.06874778594636,302.29797270611607,-3849.097537804869,5793.238037987254,-2559.443742742182,-2356.606856206384,7.102414974175692e-05,7.102414974175692e-05,14079.718006283634
0.03068712474983322,213.3175385508473,-159.63710227165694,306.1621732597115,-3850.84132957181,5791.619873202666,-2668.4439745467566,-2494.65116798948,7.449232866832455e-05,7.449232866832455e-05,13424.201093947244
0.03135423615743829,217.95715203571157,-162.2066443153502,310.02526359966305,-3852.657836636819,5789.909617482932,-2777.4442063513325,-2632.695479772578,7.796303886007079e-05,7.796303886007079e-05,12826.590838702616
0.03202134756504336,222.59647483913062,-164.77742242623088,313.88718229105734,-3854.5470589998968,5788.107270828052,-2886.4444381559065,-2770.739791555674,8.143643678771961e-05,8.143643678771961e-05,12279.515649815332
0.03268845897264843,227.23546634569294,-167.3494249770305,317.747887547437,-3856.154435834746,5786.32867928581,-1601.7992669988414,-2453.4368117900917,5.5706752740250616e-05,5.5706752740250616e-05,17951.14507325169
0.033355570380253496,231.87394403992474,-169.92213857842694,321.6075015236108,-3856.649904528404,5784.8450501244415,116.3841234112765,-1994.4834139911995,2.0884541715482593e-05,2.0884541715482593e-05,47882.30518166735
0.03402268178785857,236.5116544512135,-172.4948003845089,325.46622787961263,-3855.9991534819615,5783.667594010304,1834.5675138214124,-1535.530016192303,1.3961908226059746e-05,1.3961908226059746e-05,71623.44744062357
0.03468979319546364,241.1483433797288,-175.06664573901216,329.32427086697504,-3854.20218269542,5782.796310943398,3552.7509042315473,-1076.5766183934065,4.884982045338788e-05,4.884982045338788e-05,20470.90430873113
0.03535690460306871,245.78375677130032,-177.63690998567245,333.18183473723053,-3851.2589921687786,5782.231200923723,5270.934294641666,-617.6232205945144,8.379645725828795e-05,8.379645725828795e-05,11933.678734384612
0.03602401601067378,250.41764108132267,-180.20482846822554,337.0391237419116,-3847.1695819020356,5781.972263951277,6989.117685051802,-158.66982279561785,0.00011881909762363062,0.00011881909762363062,8416.155483418863
0.03669112741827885,255.04974363943992,-182.76963653040718,340.8963421325507,-3841.933951895193,5782.019500026063,8707.301075461937,300.2835750032789,0.0001539350145909545,0.0001539350145909545,6496.247800783082
0.03735823882588392,259.6798130153104,-185.33056951595313,344.7536941606804,-3835.552102148251,5782.37290914808,10425.484465872054,759.2369728021708,0.00018916145202335364,0.00018916145202335364,5286.489341795395
0.03802535023348899,264.30759938575,-187.88686276859914,348.6113840778333,-3828.0240326612084,5783.032491317327,12143.66785628219,1218.1903706010676,0.00022451560055727833,0.00022451560055727833,4454.033472586598
0.03869246164109406,268.93285490355277,-190.43775163208105,352.46961613554174,-3819.349743434065,5783.998246533805,13861.851246692308,1677.1437683999593,0.0002600145725342113,0.0002600145725342113,3845.938288202771
0.03935957304869913,273.55533406828545,-192.98247145013445,356.3285945853383,-3809.529234466822,5785.270174797513,15580.034637102443,2136.097166198856,0.00029567537570033875,0.00029567537570033875,3382.087526333206
0.0400266844563042,278.1747940993499,-195.52025756649527,360.1885236787555,-3798.562505759478,5786.848276108452,17298.218027512583,2595.0505639977528,0.000331514885459315,0.000331514885459315,3016.4558029257014
0.04069379586390927,282.7909953116045,-198.05034532489918,364.0496076673259,-3786.4495573120357,5788.732550466624,19016.401417922698,3054.0039617966445,0.0003675498154601551,0.0003675498154601551,2720.719635644619
0.04136090727151434,287.40370149383205,-200.57197006908194,367.91205080258186,-3773.190389124492,5790.922997872025,20734.58480833283,3512.9573595955417,0.0004037966862992058,0.0004037966862992058,2476.493824565511
0.04202801867911941,292.0126802903393,-203.08436714277926,371.77605733605594,-3758.785001196848,5793.419618324657,22452.768198742953,3971.910757394433,0.0004402717921121611,0.0004402717921121611,2271.3242545078742
0.04269513008672448,296.6177035859627,-205.58677188972703,375.6418315192808,-3743.233393529104,5796.222411824518,24170.951589153086,4430.86415519333,0.0004769911648293666,0.0004769911648293666,2096.474890384455
0.04336224149432955,301.21854789475464,-208.07841965366086,379.5095776037887,-3726.5355661212598,5799.331378371611,25889.134979563223,4889.817552992226,0.0005139705358652543,0.0005139705358652543,1945.6368219951157
0.04402935290193462,305.8152978538019,-210.55766578030162,383.38042361332435,-3702.80145705366,5808.929572285762,53889.824183740515,32938.66106134881,0.0013307056808484472,0.0013307056808484472,751.4809731348017
0.04469646430953969,310.4115788115079,-213.0128263967386,387.2660361763146,-3653.2296362430216,5844.753672922994,94726.4946065559,74461.99264906887,0.00252157597477156,0.00252157597477156,396.57738255956934
0.045363575717144757,315.01366487937054,-215.4258301585027,391.18478712805006,-3576.4152067447135,5908.278461744158,135563.16502937084,115985.32423678847,0.003690536914381923,0.003690536914381923,270.9632834461097
0.04603068712474983,319.6287378780682,-217.77850321056573,395.155155913617,-3472.358168558737,5999.5039387492625,176399.8354521862,157508.65582450852,0.0048192722191329595,0.0048192722191329595,207.5002105151701
0.0466977985323549,324.26524608220495,-220.05267169789894,399.1956219781012,-3341.058521685091,6118.430103938301,217236.50587500157,199031.98741222854,0.005886083690702096,0.005886083690702096,169.89224967691877
0.04736490993995997,328.93327107609144,-222.23016176547407,403.3246647665887,-3182.5162661237787,6265.056957311275,258073.17629781656,240555.31899994818,0.006865928333086903,0.006865928333086903,145.6467285248232
0.04803202134756504,333.6448535111788,-224.29279955826257,407.5607637241656,-2996.7314018747957,6439.384498868186,298909.84672063193,282078.65058766823,0.0077313598503226345,0.0077313598503226345,129.34335218639052
0.048699132755170106,338.4142592113163,-226.2224084960034,411.9223964551386,-2783.4806043358694,6641.261882292619,351947.0360790849,315361.04803290503,0.008610522482235101,0.008610522482235101,116.13697102157988
0.04936624416277518,343.23893819164664,-227.98146584410907,416.4149730554112,-2460.9136270801464,6815.402730512585,615108.7617335666,206713.21493055433,0.012355819746832716,0.012355819746832716,80.93352124664489
0.05003335557038025,348.0581130586371,-229.4667766466041,420.9995448149788,-1962.788460595283,6917.0633698584015,878270.4873880482,98065.38182820361,0.016860958795821012,0.016860958795821012,59.30860825351462
0.05070046697798532,352.8139710204349,-230.56122403275538,425.6277593596755,-1289.1051048812865,6946.243800330069,1141432.2130425272,-10582.451274145977,0.022446238242026798,0.022446238242026798,44.55089486342832
0.05136757838559039,357.4745226759059,-231.1476911318295,430.251264315336,-439.8635599381423,6902.944021927586,1404593.9386970089,-119230.2843764967,0.029139818982814224,0.029139818982814224,34.31730308928032
0.05203468979319546,362.045128918928,-231.10906107309333,434.82170730779467,584.9361742341432,6787.164034650954,1667755.6643514903,-227878.1174788474,0.03622591333267388,0.03622591333267388,27.604549009342776
0.05270180120080053,366.5794664533915,-230.3298217761465,439.2885857474366,1767.7622105681405,6575.413334072424,1803230.0704350034,-507610.75931942347,0.04040428625633351,0.04040428625633351,24.749849401021077
0.0533689126084056,371.0982874499481,-228.75276344119013,443.5232793853596,2955.029235900584,6061.907085677252,1756196.4715116448,-1031880.9733692957,0.04465306503771258,0.04465306503771258,22.394879257570143
0.05403602401601067,375.5499501872641,-226.3941315904625,447.2987471602904,4110.91961085052,5198.654196821868,1709162.872588287,-1556151.1874191624,0.05249507504802884,0.05249507504802884,19.049406045902003
0.05470313542361574,379.93564409040073,-223.27486946834537,450.38168647619256,5234.678914524757,3986.792395319002,1629200.817001321,-2030762.6217165156,0.06011327399918263,0.06011327399918263,16.635260957731187
0.05537024683122081,384.35132365746415,-219.45927469064674,452.6041766407108,6145.942661110796,2698.325934742967,1102767.8952636102,-1832059.827090423,0.04707329927768494,0.04707329927768494,21.243465305055626
0.05603735823882588,388.8817639585981,-215.15290670222697,454.0113312414752,6706.017000266734,1542.416375185017,576334.9735259049,-1633357.0324643324,0.03634618962690888,0.03634618962690888,27.51320042802095
0.05670446964643095,393.49505117346035,-210.59004796301267,454.6915804993116,6914.901931992584,519.063716645129,49902.05178819428,-1434654.2378382399,0.029829590690410974,0.029829590690410974,33.523758685748916
0.05737158105403602,398.0882046476621,-205.99708265969346,454.733156454832,6833.780617430034,-373.2672235191824,-160564.8273426131,-1243879.532823408,0.026703423140582678,0.026703423140582678,37.448382356651656
0.05803869246164109,402.64157766793977,-201.47259505123108,454.2210844455764,6732.616854385423,-1141.350265567687,-142724.13426513597,-1058833.427238001,0.02289889194226724,0.02289889194226724,43.67023533370973
0.05870580386924616,407.2096317298697,-197.01162505324825,453.237791717132,6643.354821212374,-1785.9869396472745,-124883.44118765886,-873787.321652594,0.018515970136062394,0.018515970136062394,54.00743210599388
0.05937291527685123,411.82377367260676,-192.60623288597745,451.86563074979824,6565.9945179108945,-2307.1772457579395,-107042.7481101819,-688741.216067189,0.014148333490343926,0.014148333490343926,70.67970236088148
0.0600400266844563,416.4936747945277,-188.24847876965097,450.1869540238745,6500.535944480977,-2704.921183899692,-89202.05503270478,-503695.110481782,0.010072118817466127,0.010072118817466127,99.28397570786133
0.060707138092061366,421.21240411114115,-183.9304229245014,448.2841140196604,6446.979100922627,-2979.2187540725254,-71361.36195522784,-318649.004896377,0.0063282511056577985,0.0063282511056577985,158.02154233512414
0.06137424949966644,425.9613978895787,-179.64412557076116,446.2394632174554,6405.323987235844,-3130.0699562764444,-53520.66887775071,-133602.89931097,0.0028240830718686523,0.0028240830718686523,354.0972324650193
0.06204136090727151,430.71492283037543,-175.3816469286627,444.13535409755906,6375.570603420626,-3157.4747905114455,-35679.975800273576,51443.206274436954,0.0005979089860687982,0.0005979089860687982,1672.4953518008097
0.06270847231487658,435.4490249191379,-171.13613320768746,442.0407572791149,6352.7295392549195,-3122.9141553245126,-33121.33355758007,48179.63693870605,0.0005712621535775828,0.0005712621535775828,1750.5098031392527
0.06337558372248164,440.16043836421903,-166.90535973752196,439.9676020763781,6331.377026550214,-3093.2212287666857,-30893.49953112722,40839.756881659996,0.0004658887006157506,0.0004658887006157506,2146.435401155536
0.06404269513008672,444.85151926496707,-162.688335037175,437.91262210226,6311.510727338806,-3068.424819925366,-28665.665504674333,33499.876824613784,0.0003572475907103868,0.0003572475907103868,2799.1791295541
0.06470980653769179,449.5246076607485,-158.4840676366711,435.87255083393455,6293.130641620696,-3048.524928800556,-26437.831478221444,26159.996767567583,0.0002457654546307488,0.0002457654546307488,4068.9201071910356
