u,s,X,Y,dx,dy,ddx,ddy,Curvature,ICC,Radius_m
0.0,0.0,-175.9609295817431,120.2984543938948,3597.6270916220033,4604.167974690528,-5444.04532294273,3489.4961777582057,0.00018857748974472608,0.00018857748974472608,5302.859855403112
0.00066711140760507,3.897832871279009,-173.56213311469153,123.37072987016383,3593.9494214559427,4606.522926047409,-5581.609834904206,3570.6479901703965,0.00019325641012190686,0.00019325641012190686,5174.472605432318
0.00133422281521014,7.795390642330892,-171.16582067405344,126.44459441915261,3590.1799804346724,4608.932014704097,-5719.174346865684,3651.7998025825877,0.0001979384716849506,0.0001979384716849506,5052.074978085378
0.00200133422281521,11.692666421368253,-168.77205348121305,129.52008415647126,3586.3187685581897,4611.395240660593,-5856.73885882716,3732.951614994778,0.00020262372575810392,0.00020262372575810392,4935.256205849354
0.00266844563042028,15.589653480249272,-166.38089275755493,132.59723519773019,3582.3657858264983,4613.9126039169,-5994.303370788637,3814.10342740697,0.0002073122208155199,0.0002073122208155199,4823.642311419094
0.00333555703802535,19.486345258380503,-163.99239972446327,135.67608365853954,3578.321032239593,4616.484104473012,-6131.8678827501135,3895.25523981916,0.00021200400240719205,0.00021200400240719205,4716.89208055289
0.00400266844563042,23.382735366624004,-161.60663560332267,138.7566656545098,3574.184507797478,4619.109742328933,-6269.43239471159,3976.4070522313514,0.0002166991130843945,0.0002166991130843945,4614.693552578341
0.00466977985323549,27.27881759120871,-159.2236616155174,141.839017301251,3569.956212500151,4621.789517484662,-6406.996906673067,4057.558864643542,0.0002213975923246315,0.0002213975923246315,4516.760952547836
0.00533689126084056,31.174585897646477,-156.8435389824319,144.92317471437363,3565.636146347614,4624.523429940198,-6544.561418634544,4138.710677055733,0.00022609947645609404,0.00022609947645609404,4422.832001533576
0.00600400266844563,35.070034434652044,-154.46632892545054,148.00917400948785,3561.224309339865,4627.311479695543,-6682.125930596021,4219.862489467924,0.00023080479858162908,0.00023080479858162908,4332.665551779369
0.0066711140760507,38.965157538067636,-152.09209266595786,151.09705130220402,3556.7207014769065,4630.153666750696,-6819.690442557498,4301.014301880115,0.00023551358850222156,0.00023551358850222156,4246.039501837777
0.00733822548365577,42.85994973479203,-149.720891425338,154.18684270813227,3552.125322758735,4633.049991105657,-6957.254954518974,4382.166114292306,0.00024022587263999664,0.00024022587263999664,4162.748953767372
0.00800533689126084,46.75440574671372,-147.35278642497553,157.27858434288302,3547.4381731853528,4636.000452760426,-7094.8194664804505,4463.317926704497,0.0002449416739607431,0.0002449416739607431,4082.6045802245576
0.00867244829886591,50.64852049464859,-144.98783888625488,160.37231232206653,3542.6592527567595,4639.005051715002,-7232.383978441927,4544.469739116688,0.00024966101189596954,0.00024966101189596954,4005.431174078101
